batch+Stage,Group,Batch(CHN1/CHN2),Age,Sex F(%)/M(%),BMI,Edu_yrs,Edu,Height,Weight,ND_score,ECOG_score,MMSE,MoCA_B,ACEIII_score,ReadCounts
merge+NC_value,NC(63),34/29,68.0±4.8,60.3/39.7,23.8±2.6,12.5±3.1,4.8±1.0,165.1±6.5,64.6±8.5,16.1±2.2,15.1±3.8,28.4±1.3,26.3±1.9,83.8±6.4,37.1±6.5
merge+SCS_value,SCS(82),41/41,68.3±5.0,63.4/36.6,23.2±4.0,11.9±3.1,4.6±1.1,163.3±7.5,63.6±11.8,15.5±2.6,16.5±5.9,27.7±1.5,24.2±3.0,79.1±6.7,36.0±5.2
merge+SCS_pvalue,,0.8,0.7,0.8,0.6,0.3,0.3,0.2,0.5,0.2,0.2,0.003,6e-07,3e-05,0.3
merge+SCD_value,SCD(90),40/50,68.7±5.2,71.1/28.9,23.4±2.9,11.4±2.5,4.3±1.1,162.1±7.7,61.6±9.7,15.6±2.7,18.4±6.4,27.0±1.7,23.8±3.2,75.8±7.3,35.6±5.6
merge+SCD_pvalue,,0.3,0.4,0.2,0.8,0.01,0.01,0.02,0.05,0.2,0.0006,5e-07,3e-08,5e-11,0.1
merge+MCI_value,MCI(119),61/58,69.7±5.3,68.1/31.9,23.6±3.0,10.8±3.3,4.0±1.1,162.2±8.0,63.0±11.1,15.4±3.0,18.7±8.1,26.5±1.9,20.7±3.5,69.6±8.5,37.0±6.5
merge+MCI_pvalue,,0.8,0.03,0.4,0.8,0.0006,1e-05,0.02,0.3,0.08,0.002,9e-12,5e-25,7e-24,0.9
merge+AD_value,AD(122),58/64,73.1±5.6,63.1/36.9,23.2±3.3,9.8±4.3,3.6±1.3,160.0±9.5,59.0±10.6,13.2±3.0,30.5±10.8,17.6±4.1,13.0±4.0,48.2±12.5,35.8±5.5
merge+AD_pvalue,,0.5,4e-09,0.8,0.4,1e-05,8e-09,0.0002,0.0003,3e-11,7e-22,2e-48,7e-60,3e-51,0.1
merge+all_pvalue,,0.8,9e-13,0.6,0.8,5e-07,2e-11,0.002,0.002,2e-14,5e-47,2e-135,3e-112,5e-113,0.3
